,"New & Change in May 1, 2026",,,,,,
,New Products,,,,,,
,,,,,,,
,Category,Item #,Item Type,Notes,Description, MSRP  ,EAN Code
,Recording - Network,XRN-6420B2-60TB,64 CH NVR," 
Price increase from $11,374.00 to $13,474.00","8K NVR (Intel based), 64Ch, 60TB RAW, 8 SATA HDD bays (up to 10TB per HDD), H.265/H.264/MJPEG, SUNAPI, ONVIF, ARB (Automatic Recovery Backup) & Failover (N+1), Up To 520 Mbps Recording / Up To 200 Mbps Playback, Dual Stream Recording, iSCSI, WiseStream Support, HDMI(x2) Dual Display, Alarm I/O, 2-Way Audio, Maximum Camera Resolution of 32MP Recording/Display, Fisheye Dewarping (Local/CMS), AI Search (Wisenet AI Cameras Only), P2P QR Code."," $13,474.00 ",849688023600 
,Recording - Network,XRN-6420B2-64TB,64 CH NVR," 
Price increase from $11,854.00 to $14,094.00","8K NVR (Intel based), 64Ch, 64TB RAW, 8 SATA HDD bays (up to 10TB per HDD), H.265/H.264/MJPEG, SUNAPI, ONVIF, ARB (Automatic Recovery Backup) & Failover (N+1), Up To 520 Mbps Recording / Up To 200 Mbps Playback, Dual Stream Recording, iSCSI, WiseStream Support, HDMI(x2) Dual Display, Alarm I/O, 2-Way Audio, Maximum Camera Resolution of 32MP Recording/Display, Fisheye Dewarping (Local/CMS), AI Search (Wisenet AI Cameras Only), P2P QR Code."," $14,094.00 ",849688023617 
,Recording - Network,XRN-6420B2-80TB,64 CH NVR," 
Price increase from $13,774.00 to $16,574.00","8K NVR (Intel based), 64Ch, 80TB RAW, 8 SATA HDD bays (up to 10TB per HDD), H.265/H.264/MJPEG, SUNAPI, ONVIF, ARB (Automatic Recovery Backup) & Failover (N+1), Up To 520 Mbps Recording / Up To 200 Mbps Playback, Dual Stream Recording, iSCSI, WiseStream Support, HDMI(x2) Dual Display, Alarm I/O, 2-Way Audio, Maximum Camera Resolution of 32MP Recording/Display, Fisheye Dewarping (Local/CMS), AI Search (Wisenet AI Cameras Only), P2P QR Code."," $16,574.00 ",849688023624 
,Recording - Network,XRN-6420RB2-8TB,64 CH NVR," 
Price increase from $6,414.00 to $6,694.00","8K NVR (Intel based), 64Ch, 8TB RAW, 8 SATA HDD bays (up to 10TB per HDD), H.265/H.264/MJPEG, SUNAPI, ONVIF, ARB (Automatic Recovery Backup) & Failover (N+1), Up To 520 Mbps Recording / Up To 200 Mbps Playback, Dual Stream Recording, iSCSI, WiseStream Support, HDMI(x2) Dual Display, Alarm I/O, 2-Way Audio, Maximum Camera Resolution of 32MP Recording/Display, Fisheye Dewarping (Local/CMS), AI Search (Wisenet AI Cameras Only), Support for RAID 5/6 (NOTE: RAID requires a minimum number of installed HDDs), P2P QR Code."," $6,694.00 ",849688023631 
,Recording - Network,XRN-6420RB2-10TB,64 CH NVR," 
Price increase from $6,654.00 to $7,004.00","8K NVR (Intel based), 64Ch, 10TB RAW, 8 SATA HDD bays (up to 10TB per HDD), H.265/H.264/MJPEG, SUNAPI, ONVIF, ARB (Automatic Recovery Backup) & Failover (N+1), Up To 520 Mbps Recording / Up To 200 Mbps Playback, Dual Stream Recording, iSCSI, WiseStream Support, HDMI(x2) Dual Display, Alarm I/O, 2-Way Audio, Maximum Camera Resolution of 32MP Recording/Display, Fisheye Dewarping (Local/CMS), AI Search (Wisenet AI Cameras Only), Support for RAID 5/6 (NOTE: RAID requires a minimum number of installed HDDs), P2P QR Code."," $7,004.00 ",849688023648 
,Recording - Network,XRN-6420RB2-16TB,64 CH NVR," 
Price increase from $7,374.00 to $7,934.00","8K NVR (Intel based), 64Ch, 16TB RAW, 8 SATA HDD bays (up to 10TB per HDD), H.265/H.264/MJPEG, SUNAPI, ONVIF, ARB (Automatic Recovery Backup) & Failover (N+1), Up To 520 Mbps Recording / Up To 200 Mbps Playback, Dual Stream Recording, iSCSI, WiseStream Support, HDMI(x2) Dual Display, Alarm I/O, 2-Way Audio, Maximum Camera Resolution of 32MP Recording/Display, Fisheye Dewarping (Local/CMS), AI Search (Wisenet AI Cameras Only), Support for RAID 5/6 (NOTE: RAID requires a minimum number of installed HDDs), P2P QR Code."," $7,934.00 ",849688023655 
,Recording - Network,XRN-6420RB2-20TB,64 CH NVR," 
Price increase from $7,854.00 to $8,554.00","8K NVR (Intel based), 64Ch, 20TB RAW, 8 SATA HDD bays (up to 10TB per HDD), H.265/H.264/MJPEG, SUNAPI, ONVIF, ARB (Automatic Recovery Backup) & Failover (N+1), Up To 520 Mbps Recording / Up To 200 Mbps Playback, Dual Stream Recording, iSCSI, WiseStream Support, HDMI(x2) Dual Display, Alarm I/O, 2-Way Audio, Maximum Camera Resolution of 32MP Recording/Display, Fisheye Dewarping (Local/CMS), AI Search (Wisenet AI Cameras Only), Support for RAID 5/6 (NOTE: RAID requires a minimum number of installed HDDs), P2P QR Code."," $8,554.00 ",849688023662 
,Recording - Network,XRN-6420RB2-32TB,64 CH NVR," 
Price increase from $9,294.00 to $10,414.00","8K NVR (Intel based), 64Ch, 32TB RAW, 8 SATA HDD bays (up to 10TB per HDD), H.265/H.264/MJPEG, SUNAPI, ONVIF, ARB (Automatic Recovery Backup) & Failover (N+1), Up To 520 Mbps Recording / Up To 200 Mbps Playback, Dual Stream Recording, iSCSI, WiseStream Support, HDMI(x2) Dual Display, Alarm I/O, 2-Way Audio, Maximum Camera Resolution of 32MP Recording/Display, Fisheye Dewarping (Local/CMS), AI Search (Wisenet AI Cameras Only), Support for RAID 5/6 (NOTE: RAID requires a minimum number of installed HDDs), P2P QR Code."," $10,414.00 ",849688023679 
,Recording - Network,XRN-6420RB2-40TB,64 CH NVR," 
Price increase from $10,254.00 to $11,654.00","8K NVR (Intel based), 64Ch, 40TB RAW, 8 SATA HDD bays (up to 10TB per HDD), H.265/H.264/MJPEG, SUNAPI, ONVIF, ARB (Automatic Recovery Backup) & Failover (N+1), Up To 520 Mbps Recording / Up To 200 Mbps Playback, Dual Stream Recording, iSCSI, WiseStream Support, HDMI(x2) Dual Display, Alarm I/O, 2-Way Audio, Maximum Camera Resolution of 32MP Recording/Display, Fisheye Dewarping (Local/CMS), AI Search (Wisenet AI Cameras Only), Support for RAID 5/6 (NOTE: RAID requires a minimum number of installed HDDs), P2P QR Code."," $11,654.00 ",849688023686 
,Recording - Network,XRN-6420RB2-48TB,64 CH NVR," 
Price increase from $11,214.00 to $12,894.00","8K NVR (Intel based), 64Ch, 48TB RAW, 8 SATA HDD bays (up to 10TB per HDD), H.265/H.264/MJPEG, SUNAPI, ONVIF, ARB (Automatic Recovery Backup) & Failover (N+1), Up To 520 Mbps Recording / Up To 200 Mbps Playback, Dual Stream Recording, iSCSI, WiseStream Support, HDMI(x2) Dual Display, Alarm I/O, 2-Way Audio, Maximum Camera Resolution of 32MP Recording/Display, Fisheye Dewarping (Local/CMS), AI Search (Wisenet AI Cameras Only), Support for RAID 5/6 (NOTE: RAID requires a minimum number of installed HDDs), P2P QR Code."," $12,894.00 ",849688023693 
